sample	capture_batch	sequencing_batch
irish_cohort_HS_01	1	1
irish_cohort_HS_05	1	1
irish_cohort_HS_06	1	1
irish_cohort_HS_07	1	1
irish_cohort_HS_08	1	1
irish_cohort_HS_10	1	1
irish_cohort_HS_11	1	1
irish_cohort_HS_14	1	1
irish_cohort_HS_15	1	1
irish_cohort_HS_16	1	1
irish_cohort_HS_17	1	1
irish_cohort_HS_18	1	1
irish_cohort_HS_19	1	1
irish_cohort_HS_20	1	1
irish_cohort_HS_21	1	1
irish_cohort_HS_22	1	1
irish_cohort_HS_23	1	1
irish_cohort_HS_24	1	1
irish_cohort_HS_25	1	1
irish_cohort_HS_26	1	1
irish_cohort_HS_28	1	1
irish_cohort_HS_29	1	1
irish_cohort_HS_30	1	1
irish_cohort_HS_31	1	1
irish_cohort_HS_32	1	1
irish_cohort_HS_33	1	1
irish_cohort_HS_50	1	1
irish_cohort_HS_53	1	1
irish_cohort_HS_54	1	1
irish_cohort_HS_55	1	1
irish_cohort_HS_59	1	1
irish_cohort_HS_60	1	1
irish_cohort_HS_61	1	1
irish_cohort_HS_62	1	1
irish_cohort_HS_63	1	1
irish_cohort_HS_64	1	1
irish_cohort_HS_65	1	1
irish_cohort_HS_66	1	1
irish_cohort_HS_67	1	1
irish_cohort_HS_68	1	1
irish_cohort_HS_70	1	1
irish_cohort_HS_71	1	1
irish_cohort_HS_72	1	1
irish_cohort_HS_73	1	1
irish_cohort_HS_74	1	1
irish_cohort_HS_75	1	1
irish_cohort_HS_76	1	1
irish_cohort_HS_77	1	1
irish_cohort_HS_78	1	1
irish_cohort_HS_79	1	1
irish_cohort_HS_80	1	1
irish_cohort_HS_81	1	1
irish_cohort_HS_82	1	1
irish_cohort_HS_83	1	1
irish_cohort_HS_84	1	1
irish_cohort_HS_85	1	1
irish_cohort_HS_86	1	1
irish_cohort_HS_87	1	1
irish_cohort_HS_88	1	1
irish_cohort_HS_89	1	1
irish_cohort_HS_90	1	1
irish_cohort_HS_92	1	1
irish_cohort_HS_93	1	1
irish_cohort_HS_94	1	1
irish_cohort_HS_95	1	1
irish_cohort_HS_96	1	1
irish_cohort_HS_97	1	1
irish_cohort_HS_98	1	1
irish_cohort_HS_101	1	1
irish_cohort_HS_102	1	1
peter_nagele_HS_PN_5-004	1	1
peter_nagele_HS_PN_14-002	1	1
peter_nagele_HS_PN_18-002	1	1
peter_nagele_HS_PN_19-001	1	1
peter_nagele_HS_PN_19-002	1	1
peter_nagele_HS_PN_20-005	1	1
peter_nagele_HS_PN_27-001	1	1
peter_nagele_HS_PN_27-003	1	1
peter_nagele_HS_PN_28-001	1	1
peter_nagele_HS_PN_29-001	1	1
peter_nagele_HS_PN_30-001	1	1
peter_nagele_HS_PN_30-002	1	1
peter_nagele_HS_PN_31-001	1	1
peter_nagele_HS_PN_31-002	1	1
peter_nagele_HS_PN_32-001	1	1
peter_nagele_HS_PN_33-001	1	1
peter_nagele_HS_PN_34-001	1	1
peter_nagele_HS_PN_35-001	1	1
peter_nagele_HS_PN_36-001	1	1
peter_nagele_HS_PN_37-001	1	1
peter_nagele_HS_PN_38-001	1	1
peter_nagele_HS_PN_39-001	1	1
peter_nagele_HS_PN_40-001	1	1
peter_nagele_HS_PN_40-002	1	1
nagele_HS_PN_01-002	2	2
nagele_HS_PN_05-003	2	2
nagele_HS_PN_05-006	2	2
nagele_HS_PN_20-002	2	2
nagele_HS_PN_20-003	2	2
nagele_HS_PN_20-004	2	2
nagele_HS_PN_27-002	2	2
nagele_HS_PN_35-002	2	2
nagele_HS_PN_35-003	2	2
nagele_HS_PN_40-003	2	2
nagele_HS_PN_41-001	2	2
nagele_HS_PN_42-001	2	2
nagele_HS_PN_43-001	2	2
nagele_HS_PN_44-001	2	2
nagele_HS_PN_44-002	2	2
nagele_HS_PN_44-003	2	2
nagele_HS_PN_45-001	2	2
nagele_HS_PN_46-001	2	2
nagele_HS_PN_46-002	2	2
nagele_HS_PN_47-001	2	2
nagele_HS_PN_48-001	2	2
nagele_HS_PN_49-001	2	2
nagele_HS_PN_49-002	2	2
nagele_HS_PN_49-003	2	2
nagele_HS_PN_50-001	2	2
OSU_HS_2017-29-J	3	2
OSU_HS_2017-30-J	3	2
OSU_HS_2017-31-J	3	2
OSU_HS_2017-35-J	3	2
OSU_HS_2017-36-J	3	2
OSU_HS_2017-37-J	3	2
OSU_HS_2017-38-J	3	2
OSU_HS_2017-39-J	3	2
OSU_HS_2017-40-J	3	2
OSU_HS_2017-41-J	3	2
OSU_HS_2017-42-J	3	2
OSU_HS_2017-52-J	3	2
OSU_HS_2017-53-J	3	2
OSU_HS_2017-54-J	3	2
OSU_HS_2017-55-J	3	2
OSU_HS_2017-56-J	3	2
OSU_HS_2017-57-J	3	2
OSU_HS_2017-58-J	3	2
OSU_HS_2017-59-J	3	2
OSU_HS_2017-60-J	3	2
OSU_HS_2017-62-J	3	2
OSU_HS_2017-63-J	3	2
OSU_HS_2017-64-J	3	2
OSU_HS_2017-65-J	3	2
OSU_HS_2017-66-J	3	2
OSU_HS_2017-68-J	3	2
OSU_HS_2017-69-J	3	2
OSU_HS_2018-01-J	3	2
OSU_HS_2018-02-J	3	2
OSU_HS_2018-03-J	3	2
OSU_HS_2018-04-J	3	2
OSU_HS_2018-07-J	3	2
OSU_HS_2018-08-J	3	2
OSU_HS_2018-09-J	3	2
OSU_HS_2018-62-J	3	2
OSU_HS_2018-63-J	3	2
OSU_HS_2018-69-J	3	2
OSU_HS_2018-83-J	3	2
